Menu Title,Item,Price 1,Price 2,Price 3,Subtitle,New,Image,Include
"Munchies & Sharables","Cheesy Kimchi Fried Rice Balls","1/$2.00","4/$6.95","","","0","RiceBalls.png","1"
"","Bulgogi Beef & Cheese Spring Rolls","$3.75","","","","0","BulgogiSpringRolls.png","1"
"","Pork or Kimchi Dumplings","$6.95","","","","0","PorkOrKimchiDumplings.png","1"
"","Spam Musubi","$4.25","","","Spicy or Regular","0","SpamMusubis.png","1"
"","Tofu Musubi","$4.00","","","Spicy or Regular","0","TofuMusubis.png","1"
"","Toki Totchos","$9.25","","","","0","TokiTachos.png","1"
"","Loaded Pulled Pork Fusion Fries","$12.95","","","","0","","1"
"","Tater Tots","$6.25","","","Ramen Seasoned or Regular","0","TaterTots.png","1"
"","Crispy Fries","$5.95","","","Ramen Seasoned or Regular","0","RamenFries.png","1"
"","Tots & Fries Mix","$6.25","","","Ramen Seasoned or Regular","0","TotsFriesMix.png","1"
"","Crispy Tender Dippers","s $8.25","m $13.75","l $18.25","","0","CrispyTenderDippers.png","1"
"","Crispy Tofu Wings","s $7.95","m $12.45","l $20.95","","0","TofuWings.png","1"
"","Ramen Chips","$4.50","","","","0","RamenChips.png","1"
"","Mini MoChurros","$6.95","","","Cinn. Sugar or Soy Honey Butter","0","MiniMochurros.png","1"
